;Unnamed: 0;dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp;date
5808;5808;11/05/2020;11;5;2020;357;22;Germany;DE;DEU;82927922,0;Europe;2020-05-11
5809;5809;10/05/2020;10;5;2020;667;26;Germany;DE;DEU;82927922,0;Europe;2020-05-10
5810;5810;09/05/2020;9;5;2020;1251;103;Germany;DE;DEU;82927922,0;Europe;2020-05-09
5811;5811;08/05/2020;8;5;2020;1209;147;Germany;DE;DEU;82927922,0;Europe;2020-05-08
5812;5812;07/05/2020;7;5;2020;1194;123;Germany;DE;DEU;82927922,0;Europe;2020-05-07
5813;5813;06/05/2020;6;5;2020;1037;165;Germany;DE;DEU;82927922,0;Europe;2020-05-06
5814;5814;05/05/2020;5;5;2020;685;139;Germany;DE;DEU;82927922,0;Europe;2020-05-05
5815;5815;04/05/2020;4;5;2020;679;43;Germany;DE;DEU;82927922,0;Europe;2020-05-04
5816;5816;03/05/2020;3;5;2020;793;74;Germany;DE;DEU;82927922,0;Europe;2020-05-03
5817;5817;02/05/2020;2;5;2020;2584;287;Germany;DE;DEU;82927922,0;Europe;2020-05-02
5818;5818;01/05/2020;1;5;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-05-01
5819;5819;30/04/2020;30;4;2020;1478;173;Germany;DE;DEU;82927922,0;Europe;2020-04-30
5820;5820;29/04/2020;29;4;2020;1304;202;Germany;DE;DEU;82927922,0;Europe;2020-04-29
5821;5821;28/04/2020;28;4;2020;1144;163;Germany;DE;DEU;82927922,0;Europe;2020-04-28
5822;5822;27/04/2020;27;4;2020;1018;110;Germany;DE;DEU;82927922,0;Europe;2020-04-27
5823;5823;26/04/2020;26;4;2020;1737;140;Germany;DE;DEU;82927922,0;Europe;2020-04-26
5824;5824;25/04/2020;25;4;2020;2055;179;Germany;DE;DEU;82927922,0;Europe;2020-04-25
5825;5825;24/04/2020;24;4;2020;2337;227;Germany;DE;DEU;82927922,0;Europe;2020-04-24
5826;5826;23/04/2020;23;4;2020;2352;215;Germany;DE;DEU;82927922,0;Europe;2020-04-23
5827;5827;22/04/2020;22;4;2020;2237;281;Germany;DE;DEU;82927922,0;Europe;2020-04-22
5828;5828;21/04/2020;21;4;2020;1785;194;Germany;DE;DEU;82927922,0;Europe;2020-04-21
5829;5829;20/04/2020;20;4;2020;1775;110;Germany;DE;DEU;82927922,0;Europe;2020-04-20
5830;5830;19/04/2020;19;4;2020;2458;184;Germany;DE;DEU;82927922,0;Europe;2020-04-19
5831;5831;18/04/2020;18;4;2020;3609;242;Germany;DE;DEU;82927922,0;Europe;2020-04-18
5832;5832;17/04/2020;17;4;2020;3380;299;Germany;DE;DEU;82927922,0;Europe;2020-04-17
5833;5833;16/04/2020;16;4;2020;2866;315;Germany;DE;DEU;82927922,0;Europe;2020-04-16
5834;5834;15/04/2020;15;4;2020;2486;285;Germany;DE;DEU;82927922,0;Europe;2020-04-15
5835;5835;14/04/2020;14;4;2020;2082;170;Germany;DE;DEU;82927922,0;Europe;2020-04-14
5836;5836;13/04/2020;13;4;2020;2537;126;Germany;DE;DEU;82927922,0;Europe;2020-04-13
5837;5837;12/04/2020;12;4;2020;2821;129;Germany;DE;DEU;82927922,0;Europe;2020-04-12
5838;5838;11/04/2020;11;4;2020;4133;171;Germany;DE;DEU;82927922,0;Europe;2020-04-11
5839;5839;10/04/2020;10;4;2020;5323;266;Germany;DE;DEU;82927922,0;Europe;2020-04-10
5840;5840;09/04/2020;9;4;2020;4974;246;Germany;DE;DEU;82927922,0;Europe;2020-04-09
5841;5841;08/04/2020;8;4;2020;4003;254;Germany;DE;DEU;82927922,0;Europe;2020-04-08
5842;5842;07/04/2020;7;4;2020;3834;173;Germany;DE;DEU;82927922,0;Europe;2020-04-07
5843;5843;06/04/2020;6;4;2020;3677;92;Germany;DE;DEU;82927922,0;Europe;2020-04-06
5844;5844;05/04/2020;5;4;2020;5936;184;Germany;DE;DEU;82927922,0;Europe;2020-04-05
5845;5845;04/04/2020;4;4;2020;6082;141;Germany;DE;DEU;82927922,0;Europe;2020-04-04
5846;5846;03/04/2020;3;4;2020;6174;145;Germany;DE;DEU;82927922,0;Europe;2020-04-03
5847;5847;02/04/2020;2;4;2020;6156;140;Germany;DE;DEU;82927922,0;Europe;2020-04-02
5848;5848;01/04/2020;1;4;2020;5453;149;Germany;DE;DEU;82927922,0;Europe;2020-04-01
5849;5849;31/03/2020;31;3;2020;4615;128;Germany;DE;DEU;82927922,0;Europe;2020-03-31
5850;5850;30/03/2020;30;3;2020;4751;66;Germany;DE;DEU;82927922,0;Europe;2020-03-30
5851;5851;29/03/2020;29;3;2020;3965;64;Germany;DE;DEU;82927922,0;Europe;2020-03-29
5852;5852;28/03/2020;28;3;2020;6294;72;Germany;DE;DEU;82927922,0;Europe;2020-03-28
5853;5853;27/03/2020;27;3;2020;5780;55;Germany;DE;DEU;82927922,0;Europe;2020-03-27
5854;5854;26/03/2020;26;3;2020;4954;49;Germany;DE;DEU;82927922,0;Europe;2020-03-26
5855;5855;25/03/2020;25;3;2020;2342;23;Germany;DE;DEU;82927922,0;Europe;2020-03-25
5856;5856;24/03/2020;24;3;2020;4438;32;Germany;DE;DEU;82927922,0;Europe;2020-03-24
5857;5857;23/03/2020;23;3;2020;3311;27;Germany;DE;DEU;82927922,0;Europe;2020-03-23
5858;5858;22/03/2020;22;3;2020;3276;22;Germany;DE;DEU;82927922,0;Europe;2020-03-22
5859;5859;21/03/2020;21;3;2020;4049;2;Germany;DE;DEU;82927922,0;Europe;2020-03-21
5860;5860;20/03/2020;20;3;2020;5940;30;Germany;DE;DEU;82927922,0;Europe;2020-03-20
5861;5861;19/03/2020;19;3;2020;1042;0;Germany;DE;DEU;82927922,0;Europe;2020-03-19
5862;5862;18/03/2020;18;3;2020;1144;0;Germany;DE;DEU;82927922,0;Europe;2020-03-18
5863;5863;17/03/2020;17;3;2020;1174;1;Germany;DE;DEU;82927922,0;Europe;2020-03-17
5864;5864;16/03/2020;16;3;2020;1043;4;Germany;DE;DEU;82927922,0;Europe;2020-03-16
5865;5865;15/03/2020;15;3;2020;733;3;Germany;DE;DEU;82927922,0;Europe;2020-03-15
5866;5866;14/03/2020;14;3;2020;693;0;Germany;DE;DEU;82927922,0;Europe;2020-03-14
5867;5867;13/03/2020;13;3;2020;802;2;Germany;DE;DEU;82927922,0;Europe;2020-03-13
5868;5868;12/03/2020;12;3;2020;271;1;Germany;DE;DEU;82927922,0;Europe;2020-03-12
5869;5869;11/03/2020;11;3;2020;157;0;Germany;DE;DEU;82927922,0;Europe;2020-03-11
5870;5870;10/03/2020;10;3;2020;237;2;Germany;DE;DEU;82927922,0;Europe;2020-03-10
5871;5871;09/03/2020;9;3;2020;55;0;Germany;DE;DEU;82927922,0;Europe;2020-03-09
5872;5872;08/03/2020;8;3;2020;163;0;Germany;DE;DEU;82927922,0;Europe;2020-03-08
5873;5873;07/03/2020;7;3;2020;284;0;Germany;DE;DEU;82927922,0;Europe;2020-03-07
5874;5874;06/03/2020;6;3;2020;138;0;Germany;DE;DEU;82927922,0;Europe;2020-03-06
5875;5875;05/03/2020;5;3;2020;66;0;Germany;DE;DEU;82927922,0;Europe;2020-03-05
5876;5876;04/03/2020;4;3;2020;39;0;Germany;DE;DEU;82927922,0;Europe;2020-03-04
5877;5877;03/03/2020;3;3;2020;28;0;Germany;DE;DEU;82927922,0;Europe;2020-03-03
5878;5878;02/03/2020;2;3;2020;18;0;Germany;DE;DEU;82927922,0;Europe;2020-03-02
5879;5879;01/03/2020;1;3;2020;54;0;Germany;DE;DEU;82927922,0;Europe;2020-03-01
5880;5880;29/02/2020;29;2;2020;10;0;Germany;DE;DEU;82927922,0;Europe;2020-02-29
5881;5881;28/02/2020;28;2;2020;26;0;Germany;DE;DEU;82927922,0;Europe;2020-02-28
5882;5882;27/02/2020;27;2;2020;4;0;Germany;DE;DEU;82927922,0;Europe;2020-02-27
5883;5883;26/02/2020;26;2;2020;2;0;Germany;DE;DEU;82927922,0;Europe;2020-02-26
5884;5884;25/02/2020;25;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-25
5885;5885;24/02/2020;24;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-24
5886;5886;23/02/2020;23;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-23
5887;5887;22/02/2020;22;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-22
5888;5888;21/02/2020;21;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-21
5889;5889;20/02/2020;20;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-20
5890;5890;19/02/2020;19;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-19
5891;5891;18/02/2020;18;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-18
5892;5892;17/02/2020;17;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-17
5893;5893;16/02/2020;16;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-16
5894;5894;15/02/2020;15;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-15
5895;5895;14/02/2020;14;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-14
5896;5896;13/02/2020;13;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-13
5897;5897;12/02/2020;12;2;2020;2;0;Germany;DE;DEU;82927922,0;Europe;2020-02-12
5898;5898;11/02/2020;11;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-11
5899;5899;10/02/2020;10;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-10
5900;5900;09/02/2020;9;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-09
5901;5901;08/02/2020;8;2;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-02-08
5902;5902;07/02/2020;7;2;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-02-07
5903;5903;06/02/2020;6;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-06
5904;5904;05/02/2020;5;2;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-02-05
5905;5905;04/02/2020;4;2;2020;2;0;Germany;DE;DEU;82927922,0;Europe;2020-02-04
5906;5906;03/02/2020;3;2;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-02-03
5907;5907;02/02/2020;2;2;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-02-02
5908;5908;01/02/2020;1;2;2020;2;0;Germany;DE;DEU;82927922,0;Europe;2020-02-01
5909;5909;31/01/2020;31;1;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-01-31
5910;5910;30/01/2020;30;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-30
5911;5911;29/01/2020;29;1;2020;3;0;Germany;DE;DEU;82927922,0;Europe;2020-01-29
5912;5912;28/01/2020;28;1;2020;1;0;Germany;DE;DEU;82927922,0;Europe;2020-01-28
5913;5913;27/01/2020;27;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-27
5914;5914;26/01/2020;26;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-26
5915;5915;25/01/2020;25;1;2020;0;0;Germany;DE;DEU;82927922,0;Europe;2020-01-25
