;Unnamed: 0;dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp;date
123;123;11/05/2020;11;5;2020;12;0;Albania;AL;ALB;2866376,0;Europe;2020-5-11
124;124;10/05/2020;10;5;2020;6;0;Albania;AL;ALB;2866376,0;Europe;2020-5-10
125;125;09/05/2020;9;5;2020;8;0;Albania;AL;ALB;2866376,0;Europe;2020-5-9
126;126;08/05/2020;8;5;2020;10;0;Albania;AL;ALB;2866376,0;Europe;2020-5-8
127;127;07/05/2020;7;5;2020;12;0;Albania;AL;ALB;2866376,0;Europe;2020-5-7
128;128;06/05/2020;6;5;2020;17;0;Albania;AL;ALB;2866376,0;Europe;2020-5-6
129;129;05/05/2020;5;5;2020;8;0;Albania;AL;ALB;2866376,0;Europe;2020-5-5
130;130;04/05/2020;4;5;2020;6;0;Albania;AL;ALB;2866376,0;Europe;2020-5-4
131;131;03/05/2020;3;5;2020;7;0;Albania;AL;ALB;2866376,0;Europe;2020-5-3
132;132;02/05/2020;2;5;2020;9;0;Albania;AL;ALB;2866376,0;Europe;2020-5-2
133;133;01/05/2020;1;5;2020;7;0;Albania;AL;ALB;2866376,0;Europe;2020-5-1
134;134;30/04/2020;30;4;2020;16;1;Albania;AL;ALB;2866376,0;Europe;2020-4-30
135;135;29/04/2020;29;4;2020;14;2;Albania;AL;ALB;2866376,0;Europe;2020-4-29
136;136;28/04/2020;28;4;2020;10;0;Albania;AL;ALB;2866376,0;Europe;2020-4-28
137;137;27/04/2020;27;4;2020;14;1;Albania;AL;ALB;2866376,0;Europe;2020-4-27
138;138;26/04/2020;26;4;2020;34;0;Albania;AL;ALB;2866376,0;Europe;2020-4-26
139;139;25/04/2020;25;4;2020;15;0;Albania;AL;ALB;2866376,0;Europe;2020-4-25
140;140;24/04/2020;24;4;2020;29;0;Albania;AL;ALB;2866376,0;Europe;2020-4-24
141;141;23/04/2020;23;4;2020;25;1;Albania;AL;ALB;2866376,0;Europe;2020-4-23
142;142;22/04/2020;22;4;2020;25;0;Albania;AL;ALB;2866376,0;Europe;2020-4-22
143;143;21/04/2020;21;4;2020;22;0;Albania;AL;ALB;2866376,0;Europe;2020-4-21
144;144;20/04/2020;20;4;2020;14;0;Albania;AL;ALB;2866376,0;Europe;2020-4-20
145;145;19/04/2020;19;4;2020;9;0;Albania;AL;ALB;2866376,0;Europe;2020-4-19
