;Part;Operator;Measurement;Value
0;1;a;1;10,01
24;9;a;1;9,952
27;10;a;1;9,922
78;7;a;3;10,091000000000001
30;1;a;2;10,012
36;3;a;2;9,912
75;6;a;3;9,961
39;4;a;2;10,062000000000001
42;5;a;2;10,092
45;6;a;2;9,998
48;7;a;2;9,999
72;5;a;3;9,962
51;8;a;2;10,0
54;9;a;2;9,951
57;10;a;2;9,92
69;4;a;3;10,061
60;1;a;3;10,011000000000001
63;2;a;3;10,111
21;8;a;1;10,0
81;8;a;3;10,05
33;2;a;2;10,112
18;7;a;1;10,051
87;10;a;3;9,921
3;2;a;1;10,11
6;3;a;1;9,91
9;4;a;1;10,06
84;9;a;3;9,95
12;5;a;1;9,96
15;6;a;1;10,09
66;3;a;3;9,911
85;9;b;3;9,951
64;2;b;3;10,109
1;1;b;1;10,011000000000001
61;1;b;3;10,009
22;8;b;1;9,998
58;10;b;2;9,921
4;2;b;1;10,111
70;4;b;3;10,059
55;9;b;2;9,949
52;8;b;2;9,998
82;8;b;3;10,051
7;3;b;1;9,911
49;7;b;2;9,997
28;10;b;1;9,92
73;5;b;3;9,96
46;6;b;2;9,999
43;5;b;2;10,09
88;10;b;3;9,919
31;1;b;2;10,01
67;3;b;3;9,908999999999999
34;2;b;2;10,11
76;6;b;3;9,959
13;5;b;1;9,961
25;9;b;1;9,95
16;6;b;1;10,091000000000001
37;3;b;2;9,91
79;7;b;3;10,089
40;4;b;2;10,06
10;4;b;1;10,061
19;7;b;1;10,049
71;4;c;3;10,06
80;7;c;3;10,09
74;5;c;3;9,958
68;3;c;3;9,91
77;6;c;3;9,96
86;9;c;3;9,949
83;8;c;3;10,049
44;5;c;2;10,088
62;1;c;3;10,01
2;1;c;1;10,009
5;2;c;1;10,109
8;3;c;1;9,908999999999999
11;4;c;1;10,059
14;5;c;1;9,959
17;6;c;1;10,089
20;7;c;1;10,05
23;8;c;1;9,996
26;9;c;1;9,948
29;10;c;1;9,918
32;1;c;2;10,008
35;2;c;2;10,107999999999999
38;3;c;2;9,908
41;4;c;2;10,058
47;6;c;2;9,997
50;7;c;2;9,998
53;8;c;2;9,996
56;9;c;2;9,95
59;10;c;2;9,919
65;2;c;3;10,11
89;10;c;3;9,92
