;Series_reference;Period;Data_value;STATUS;UNITS;MAGNTUDE;Subject;Group;Series_title_1;Series_title_2;Series_title_3;Series_title_4;Series_title_5
282;ALCA.SAAA;2001,06;0,004903;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
283;ALCA.SAAA;2002,06;0,000825;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
284;ALCA.SAAA;2003,06;0,0009400000000000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
285;ALCA.SAAA;2004,06;0,0006228;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
286;ALCA.SAAA;2005,06;0,0082404;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
287;ALCA.SAAA;2006,06;0,001463;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
288;ALCA.SAAA;2007,06;0,004109000000000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
289;ALCA.SAAA;2008,06;0,017769999999999998;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
290;ALCA.SAAA;2009,06;0,041496;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
291;ALCA.SAAA;2010,06;0,233427;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
292;ALCA.SAAA;2011,06;0,307196;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
293;ALCA.SAAA;2012,06;0,3051326;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
294;ALCA.SAAA;2013,06;0,42181896700000004;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
295;ALCA.SAAA;2014,06;0,39737339;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
296;ALCA.SAAA;2015,06;0,15636255;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
297;ALCA.SAAA;2016,06;0,27339101600000004;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
298;ALCA.SAAA;2017,06;0,158610587;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
299;ALCA.SAAA;2018,06;0,286034512;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
300;ALCA.SAAA;2019,06;0,293207774;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
301;ALCA.SAAAD;2000,12;0,0043630000000000006;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
302;ALCA.SAAAD;2001,12;0,001006;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
303;ALCA.SAAAD;2002,12;0,000999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
304;ALCA.SAAAD;2003,12;0,0009199999999999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
305;ALCA.SAAAD;2004,12;5,42e-05;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
306;ALCA.SAAAD;2005,12;0,009022;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
