;Unnamed: 0;Hersteller;Modell;Kilometerstand;Baujahr;PS;Zustand;Kraftstoff;Verbrauch;Preis;sds;wwww
0;0;BMW;520;40000,0;2017,0;190;Gebraucht;Diesel;4,5;46900,0;40190,0;1
1;1;Volvo;XC60;42656,0;2017,0;190;Gebraucht;Diesel;4,7;32930,0;42846,0;2
2;2;Volvo;XC90;111183,0;2015,0;224;Gebraucht;Diesel;5,8;40930,0;111407,0;3
3;3;Audi;Q3;42922,0;2016,0;184;Gebraucht;Diesel;5,2;30990,0;43106,0;4
4;4;Seat;Ibiza;138000,0;2008,0;69;Gebraucht;Benzin;5,9;3200,0;138069,0;5
5;5;Volkswagen;Tiguan;13189,0;2018,0;179;Gebraucht;Benzin;7,6;39930,0;13368,0;6
6;6;Volkswagen;Touran;45000,0;2014,0;140;Gebraucht;Benzin;7,2;17000,0;45140,0;7
7;7;Volkswagen;Passat;100,0;2018,0;67;Gebraucht;Benzin;4,7;10240,0;167,0;8
8;8;Audi;A3;345000,0;2006,0;170;Gebraucht;Diesel;5,7;3550,0;345170,0;9
9;9;Volvo;V50;260000,0;2008,0;109;Gebraucht;Diesel;5,0;3200,0;260109,0;10
10;10;Renault;Scenic;2000,0;2018,0;140;Neu;Benzin;5,5;24990,0;2140,0;11
11;11;Renault;Clio;2000,0;2018,0;90;Neu;Benzin;5,0;14990,0;2090,0;12
12;12;Kia;Rio;4,0;;84;Neu;Benzin;5,5;14250,0;88,0;13
13;13;Peugeot;307;52750,0;2004,0;109;Gebraucht;Benzin;;2790,0;52859,0;14
14;14;BMW;218;42346,0;2015,0;150;Gebraucht;Diesel;4,5;21950,0;42496,0;15
15;15;Volkswagen;Caddy;156600,0;2007,0;105;Gebraucht;Diesel;6,9;2890,0;156705,0;16
16;16;Fiat;500;6917,0;2013,0;69;Gebraucht;Benzin;5,1;9450,0;6986,0;17
17;17;Mazda;6;;;194;Neu;Benzin;6,8;34190,0;;18
18;18;Mazda;MX-5;;;132;Neu;Benzin;6,3;23190,0;;19
19;19;Volkswagen;T6;26537,0;2017,0;204;Jahreswagen;Diesel;7,6;60990,0;26741,0;20
