normal-d;Binomial-d;Poisson-d;Chi-Quadrat-d;F-d;t-d
10,04889156;1;3;0.046790128;5,227070904;0,6840894040000001
10,03560696;1;7;2.272391793;2,126835866;-3,2197077430000003
9,9874776;2;7;4.056958775;0,729870123;0,540744918
9,95550262;2;5;1.434994388;0,965980452;0,314160406
10,01419626;1;6;0.06971426;0,391248739;-0,117219197
9,954383466;1;3;1.692071914;0,083223477;-1,414773509
9,943408529;1;4;1.232931246;19,8864078;1,036360271
10,00595276;2;5;0.000979367;4,130793809;0,402489861
9,986736494;3;3;0.342102098;0,6419338929999999;0,008524364
9,953597658;3;0;4.474816754;0,36017934799999995;3,153265409
9,993057803;3;5;1.004077589;0,086917489;1,0981668820000001
10,02597839;1;2;3.307304752;0,33956577299999996;-0,35963586700000005
9,976259969;3;4;0.112531898;2,692681793;1,338833422
10,07271756;4;3;1.460026964;0,8264992170000001;-0,587224192
10,05734034;2;4;0.352621171;1,4625924030000002;0,028372581
9,990619476;2;3;2.801161037;1,056553363;-0,327621
9,931532592;1;6;0.414964665;0,10075098800000001;-2,270170383
10,05432854;2;4;0.026573238;0,364898647;0,296812745
10,09352578;3;4;0.020043917;1,74253408;0,6208359689999999
10,04031516;4;3;0.377450936;35,72789605;-0,20788773800000002
10,02732757;3;3;2.621043977;5,003307627;2,471845645
9,956383472999999;2;5;0.14369775;0,041387589;0,538830175
9,957403141;1;0;0.302825987;0,944260958;-1,279321011
9,896459237;2;4;0.028324979;0,049172053;2,542574842
10,03292396;1;5;0.569866654;0,343141586;-6,304832662999999
9,973581265;2;2;0.338918343;1,894919597;-2,657332336
9,957562501;1;6;3.363606398;1,975952121;0,5700870570000001
10,00832731;0;4;0.728954779;0,010809167;5,2342727469999994
10,00873501;0;5;0.551448941;0,36310415799999995;-2,1387698630000003
9,999493744;4;5;0.462832924;7,1739139739999995;-0,766023775
10,03490732;2;7;0.105131016;6,588534242000001;-2,240565604
9,925974538;4;5;0.391262736;0,663452301;0,666321185
9,950696602;2;4;1.666832228;0,6462750079999999;3,177499278
9,926233528;4;6;0.792653768;1,280893193;10,80741143
9,991894274;3;4;0.571241491;19,18379945;1,923293526
10,0125855;3;7;1.221993361;2,015442041;-0,725504273
9,871918184;3;3;0.044918957;1,9527569519999999;0,394079423
9,908305177999999;1;2;0.003352496;0,009632547;-0,729030355
10,00875557;0;2;0.323779832;0,288871162;2,0248621019999997
10,08224531;2;3;3.001830221;0,80848748;0,39485482299999997
10,0079469;2;5;0.06611692;1,358160332;0,603597187
10,043928;2;1;0.102375154;2,244566091;0,618537611
9,973150851;1;4;0.02742615;2,8069446210000004;1,633781325
10,05629727;4;8;0.931323089;0,553186754;0,287166731
9,974178989;1;7;0.007932997;0,05082419999999999;-1,3348478529999999
9,953850668;2;6;0.212792766;0,407200678;-2,861042007
10,02517884;2;2;0.561548749;0,32505504;-0,940839925
9,966068655;3;5;0.010428682;0,159970993;-0,306418596
9,973688577;1;5;0.401103369;0,46544397299999996;-0,070197203
9,959345727;4;9;0.001084074;0,706092765;-0,7038364420000001
9,95983775;2;4;0.093089444;0,924940742;-1,214119012
9,959917041;1;2;0.470465166;4,142289891;-0,082246712
10,02836304;3;4;0.074178573;0,134407277;-2,053407839
10,00947744;4;2;0.240364495;3,7214638019999997;-1,1973282170000001
9,968749691000001;3;6;0.012905106;0,39376459999999996;0,805263159
