;Unnamed: 0;country;nuts_1;cases;cases/100k pop.;deaths;datetime;datum
77;77;DE;Saarland;1;;0;2020-03-04T10:00:00;2020-03-04 10:00:00.000
92;92;DE;Saarland;1;;0;2020-03-04T15:00:00;2020-03-04 15:00:00.000
107;107;DE;Saarland;1;;0;2020-03-05T08:00:00;2020-03-05 08:00:00.000
122;122;DE;Saarland;1;;0;2020-03-05T15:00:00;2020-03-05 15:00:00.000
137;137;DE;Saarland;1;;0;2020-03-06T07:00:00;2020-03-06 07:00:00.000
153;153;DE;Saarland;2;;0;2020-03-06T15:00:00;2020-03-06 15:00:00.000
168;168;DE;Saarland;2;;0;2020-03-07T08:00:00;2020-03-07 08:00:00.000
183;183;DE;Saarland;3;;0;2020-03-07T15:00:00;2020-03-07 15:00:00.000
199;199;DE;Saarland;4;;0;2020-03-08T08:00:00;2020-03-08 08:00:00.000
214;214;DE;Saarland;4;;0;2020-03-08T15:00:00;2020-03-08 15:00:00.000
228;228;DE;Saarland;5;;0;2020-03-09T08:00:00;2020-03-09 08:00:00.000
244;244;DE;Saarland;6;;0;2020-03-09T15:00:00;2020-03-09 15:00:00.000
259;259;DE;Saarland;7;;0;2020-03-10T15:00:00;2020-03-10 15:00:00.000
273;273;DE;Saarland;14;;0;2020-03-11T15:00:00;2020-03-11 15:00:00.000
289;289;DE;Saarland;14;;0;2020-03-12T15:00:00;2020-03-12 15:00:00.000
306;306;DE;Saarland;40;;0;2020-03-13T15:00:00;2020-03-13 15:00:00.000
320;320;DE;Saarland;40;;0;2020-03-14T15:00:00;2020-03-14 15:00:00.000
336;336;DE;Saarland;32;;0;2020-03-15T15:00:00;2020-03-15 15:00:00.000
356;356;DE;Saarland;85;;0;2020-03-16T15:00:00;2020-03-16 15:00:00.000
373;373;DE;Saarland;75;7,6;0;2020-03-17T15:00:00;2020-03-17 15:00:00.000
387;387;DE;Saarland;88;8,9;0;2020-03-18T00:00:00;2020-03-18 00:00:00.000
403;403;DE;Saarland;99;9,99;0;2020-03-19T00:00:00;2020-03-19 00:00:00.000
418;418;DE;Saarland;146;15,0;0;2020-03-20T00:00:00;2020-03-20 00:00:00.000
435;435;DE;Saarland;187;19,0;0;2020-03-21T00:00:00;2020-03-21 00:00:00.000
450;450;DE;Saarland;187;19,0;0;2020-03-22T00:00:00;2020-03-22 00:00:00.000
466;466;DE;Saarland;200;20,0;0;2020-03-23T00:00:00;2020-03-23 00:00:00.000
484;484;DE;Saarland;337;34,0;1;2020-03-24T00:00:00;2020-03-24 00:00:00.000
500;500;DE;Saarland;403;41,0;2;2020-03-25T00:00:00;2020-03-25 00:00:00.000
515;515;DE;Saarland;433;44,0;2;2020-03-26T00:00:00;2020-03-26 00:00:00.000
531;531;DE;Saarland;505;51,0;2;2020-03-27T00:00:00;2020-03-27 00:00:00.000
547;547;DE;Saarland;550;56,0;2;2020-03-28T00:00:00;2020-03-28 00:00:00.000
562;562;DE;Saarland;560;57,0;2;2020-03-29T00:00:00;2020-03-29 00:00:00.000
579;579;DE;Saarland;706;71,0;7;2020-03-30T00:00:00;2020-03-30 00:00:00.000
595;595;DE;Saarland;782;79,0;7;2020-03-31T00:00:00;2020-03-31 00:00:00.000
611;611;DE;Saarland;829;84,0;8;2020-04-01T00:00:00;2020-04-01 00:00:00.000
629;629;DE;Saarland;1020;103,0;11;2020-04-02T00:00:00;2020-04-02 00:00:00.000
645;645;DE;Saarland;1079;109,0;12;2020-04-03T00:00:00;2020-04-03 00:00:00.000
661;661;DE;Saarland;1265;128,0;14;2020-04-04T00:00:00;2020-04-04 00:00:00.000
677;677;DE;Saarland;1358;137,0;14;2020-04-05T00:00:00;2020-04-05 00:00:00.000
693;693;DE;Saarland;1483;150,0;14;2020-04-06T00:00:00;2020-04-06 00:00:00.000
709;709;DE;Saarland;1532;155,0;16;2020-04-07T00:00:00;2020-04-07 00:00:00.000
725;725;DE;Saarland;1637;165,0;23;2020-04-08T00:00:00;2020-04-08 00:00:00.000
741;741;DE;Saarland;1693;171,0;23;2020-04-09T00:00:00;2020-04-09 00:00:00.000
757;757;DE;Saarland;1854;187,0;36;2020-04-10T00:00:00;2020-04-10 00:00:00.000
773;773;DE;Saarland;2016;204,0;41;2020-04-11T00:00:00;2020-04-11 00:00:00.000
789;789;DE;Saarland;2058;208,0;43;2020-04-12T00:00:00;2020-04-12 00:00:00.000
805;805;DE;Saarland;2079;210,0;44;2020-04-13T00:00:00;2020-04-13 00:00:00.000
821;821;DE;Saarland;2112;213,0;52;2020-04-14T00:00:00;2020-04-14 00:00:00.000
837;837;DE;Saarland;2145;217,0;58;2020-04-15T00:00:00;2020-04-15 00:00:00.000
853;853;DE;Saarland;2201;222,0;71;2020-04-16T00:00:00;2020-04-16 00:00:00.000
869;869;DE;Saarland;2254;228,0;76;2020-04-17T00:00:00;2020-04-17 00:00:00.000
885;885;DE;Saarland;2289;231,0;86;2020-04-18T00:00:00;2020-04-18 00:00:00.000
901;901;DE;Saarland;2303;233,0;91;2020-04-19T00:00:00;2020-04-19 00:00:00.000
917;917;DE;Saarland;2314;234,0;91;2020-04-20T00:00:00;2020-04-20 00:00:00.000
933;933;DE;Saarland;2328;235,0;93;2020-04-21T00:00:00;2020-04-21 00:00:00.000
948;948;DE;Saarland;2367;239,0;97;2020-04-22T00:00:00;2020-04-22 00:00:00.000
964;964;DE;Saarland;2395;241,79487516014493;99;2020-04-22T22:00:00;2020-04-22 22:00:00.000
980;980;DE;Saarland;2395;242,0;99;2020-04-23T00:00:00;2020-04-23 00:00:00.000
996;996;DE;Saarland;2445;246,84278487121296;105;2020-04-23T22:00:00;2020-04-23 22:00:00.000
1012;1012;DE;Saarland;2468;249,164823338304;107;2020-04-24T22:00:00;2020-04-24 22:00:00.000
1028;1028;DE;Saarland;2482;250,57823805740296;107;2020-04-25T22:00:00;2020-04-25 22:00:00.000
1044;1044;DE;Saarland;2503;252,69836013605098;121;2020-04-26T22:00:00;2020-04-26 22:00:00.000
1060;1060;DE;Saarland;2509;253,30410930137901;123;2020-04-27T22:00:00;2020-04-27 22:00:00.000
1076;1076;DE;Saarland;2514;253,808900272486;129;2020-04-28T22:00:00;2020-04-28 22:00:00.000
1092;1092;DE;Saarland;2552;257,645311652898;131;2020-04-29T22:00:00;2020-04-29 22:00:00.000
1108;1108;DE;Saarland;2581;260,573099285317;135;2020-04-30T22:00:00;2020-04-30 22:00:00.000
1124;1124;DE;Saarland;2597;262,188430392859;135;2020-05-01T22:00:00;2020-05-01 22:00:00.000
1140;1140;DE;Saarland;2605;262,996095946629;138;2020-05-02T22:00:00;2020-05-02 22:00:00.000
1156;1156;DE;Saarland;2608;263,298970529294;139;2020-05-03T22:00:00;2020-05-03 22:00:00.000
1172;1172;DE;Saarland;2618;264,30855247150697;139;2020-05-04T22:00:00;2020-05-04 22:00:00.000
1188;1188;DE;Saarland;2627;265,21717621949904;141;2020-05-05T22:00:00;2020-05-05 22:00:00.000
1204;1204;DE;Saarland;2655;268,04400565769697;143;2020-05-06T22:00:00;2020-05-06 22:00:00.000
1220;1220;DE;Saarland;2658;268,346880240361;140;2020-05-07T22:00:00;2020-05-07 22:00:00.000
1236;1236;DE;Saarland;2660;268,54879662880404;142;2020-05-08T22:00:00;2020-05-08 22:00:00.000
1252;1252;DE;Saarland;2663;268,851671211468;142;2020-05-09T22:00:00;2020-05-09 22:00:00.000
1268;1268;DE;Saarland;2665;269,053587599911;142;2020-05-10T22:00:00;2020-05-10 22:00:00.000
1284;1284;DE;Saarland;2665;269,053587599911;144;2020-05-11T22:00:00;2020-05-11 22:00:00.000
1300;1300;DE;Saarland;2667;269,255503988353;144;2020-05-12T22:00:00;2020-05-12 22:00:00.000
1316;1316;DE;Saarland;2677;270,265085930567;145;2020-05-13T22:00:00;2020-05-13 22:00:00.000
1332;1332;DE;Saarland;2684;270,971793290117;147;2020-05-14T22:00:00;2020-05-14 22:00:00.000
1347;1347;DE;Saarland;2688;271,375626067002;149;2020-05-15T22:00:00;2020-05-15 22:00:00.000
1363;1363;DE;Saarland;2696;272,183291620773;149;2020-05-16T22:00:00;2020-05-16 22:00:00.000
1379;1379;DE;Saarland;2696;272,183291620773;149;2020-05-17T22:00:00;2020-05-17 22:00:00.000
1395;1395;DE;Saarland;2699;272,486166203437;154;2020-05-18T22:00:00;2020-05-18 22:00:00.000
1411;1411;DE;Saarland;2703;272,889998980322;154;2020-05-19T22:00:00;2020-05-19 22:00:00.000
1427;1427;DE;Saarland;2706;273,192873562986;157;2020-05-20T22:00:00;2020-05-20 22:00:00.000
1443;1443;DE;Saarland;2707;273,293831757208;157;2020-05-21T22:00:00;2020-05-21 22:00:00.000
1459;1459;DE;Saarland;2707;273,293831757208;157;2020-05-22T00:00:00;2020-05-22 00:00:00.000
1475;1475;DE;Saarland;2709;273,49574814565;157;2020-05-22T22:00:00;2020-05-22 22:00:00.000
1491;1491;DE;Saarland;2713;273,899580922536;157;2020-05-23T22:00:00;2020-05-23 22:00:00.000
1507;1507;DE;Saarland;2716;274,2024555052;157;2020-05-24T22:00:00;2020-05-24 22:00:00.000
1523;1523;DE;Saarland;2727;275,31299564163504;158;2020-05-25T22:00:00;2020-05-25 22:00:00.000
1539;1539;DE;Saarland;2730;275,615870224299;160;2020-05-26T22:00:00;2020-05-26 22:00:00.000
1555;1555;DE;Saarland;2731;275,71682841852004;161;2020-05-27T22:00:00;2020-05-27 22:00:00.000
1571;1571;DE;Saarland;2716;274,2024555052;162;2020-05-28T22:00:00;2020-05-28 22:00:00.000
1587;1587;DE;Saarland;2723;274,909162864749;163;2020-05-29T22:00:00;2020-05-29 22:00:00.000
1603;1603;DE;Saarland;2724;275,010121058971;163;2020-05-30T22:00:00;2020-05-30 22:00:00.000
1619;1619;DE;Saarland;2724;275,010121058971;163;2020-05-31T22:00:00;2020-05-31 22:00:00.000
1635;1635;DE;Saarland;2730;275,615870224299;163;2020-06-01T22:00:00;2020-06-01 22:00:00.000
1651;1651;DE;Saarland;2735;276,120661195406;163;2020-06-02T22:00:00;2020-06-02 22:00:00.000
1667;1667;DE;Saarland;2737;276,322577583848;164;2020-06-03T22:00:00;2020-06-03 22:00:00.000
1683;1683;DE;Saarland;2738;276,42353577807;166;2020-06-04T22:00:00;2020-06-04 22:00:00.000
1699;1699;DE;Saarland;2740;276,625452166512;166;2020-06-05T22:00:00;2020-06-05 22:00:00.000
1715;1715;DE;Saarland;2747;277,332159526062;166;2020-06-06T22:00:00;2020-06-06 22:00:00.000
1731;1731;DE;Saarland;2747;277,332159526062;166;2020-06-07T22:00:00;2020-06-07 22:00:00.000
1747;1747;DE;Saarland;2754;278,038866885611;167;2020-06-08T22:00:00;2020-06-08 22:00:00.000
1763;1763;DE;Saarland;2763;278,947490633604;167;2020-06-09T22:00:00;2020-06-09 22:00:00.000
1779;1779;DE;Saarland;2766;279,250365216268;167;2020-06-10T22:00:00;2020-06-10 22:00:00.000
1795;1795;DE;Saarland;2769;279,553239798932;168;2020-06-11T22:00:00;2020-06-11 22:00:00.000
1811;1811;DE;Saarland;2770;279,654197993153;168;2020-06-12T22:00:00;2020-06-12 22:00:00.000
1827;1827;DE;Saarland;2772;279,856114381596;168;2020-06-13T22:00:00;2020-06-13 22:00:00.000
1843;1843;DE;Saarland;2772;279,856114381596;168;2020-06-14T22:00:00;2020-06-14 22:00:00.000
1859;1859;DE;Saarland;2773;279,957072575817;168;2020-06-15T22:00:00;2020-06-15 22:00:00.000
1875;1875;DE;Saarland;2773;279,957072575817;168;2020-06-16T22:00:00;2020-06-16 22:00:00.000
1891;1891;DE;Saarland;2773;279,957072575817;168;2020-06-17T22:00:00;2020-06-17 22:00:00.000
1907;1907;DE;Saarland;2774;280,058030770038;168;2020-06-18T22:00:00;2020-06-18 22:00:00.000
1923;1923;DE;Saarland;2776;280,259947158481;168;2020-06-19T22:00:00;2020-06-19 22:00:00.000
1939;1939;DE;Saarland;2778;280,461863546924;168;2020-06-20T22:00:00;2020-06-20 22:00:00.000
1955;1955;DE;Saarland;2778;280,461863546924;168;2020-06-21T22:00:00;2020-06-21 22:00:00.000
1971;1971;DE;Saarland;2778;280,461863546924;168;2020-06-22T22:00:00;2020-06-22 22:00:00.000
1987;1987;DE;Saarland;2801;282,783902014015;169;2020-06-23T22:00:00;2020-06-23 22:00:00.000
2003;2003;DE;Saarland;2801;282,783902014015;169;2020-06-24T22:00:00;2020-06-24 22:00:00.000
2019;2019;DE;Saarland;2802;282,88486020823603;171;2020-06-25T22:00:00;2020-06-25 22:00:00.000
2035;2035;DE;Saarland;2802;282,88486020823603;172;2020-06-26T22:00:00;2020-06-26 22:00:00.000
2051;2051;DE;Saarland;2805;283,1877347909;173;2020-06-27T22:00:00;2020-06-27 22:00:00.000
2067;2067;DE;Saarland;2806;283,288692985122;173;2020-06-28T22:00:00;2020-06-28 22:00:00.000
2083;2083;DE;Saarland;2806;283,288692985122;173;2020-06-29T22:00:00;2020-06-29 22:00:00.000
2099;2099;DE;Saarland;2806;283,288692985122;173;2020-06-30T22:00:00;2020-06-30 22:00:00.000
2115;2115;DE;Saarland;2807;283,389651179343;173;2020-07-01T22:00:00;2020-07-01 22:00:00.000
2131;2131;DE;Saarland;2805;283,1877347909;174;2020-07-02T22:00:00;2020-07-02 22:00:00.000
2147;2147;DE;Saarland;2805;283,1877347909;174;2020-07-03T22:00:00;2020-07-03 22:00:00.000
2163;2163;DE;Saarland;2805;283,1877347909;174;2020-07-04T22:00:00;2020-07-04 22:00:00.000
2179;2179;DE;Saarland;2806;283,288692985122;174;2020-07-05T22:00:00;2020-07-05 22:00:00.000
2195;2195;DE;Saarland;2806;283,288692985122;174;2020-07-06T22:00:00;2020-07-06 22:00:00.000
2211;2211;DE;Saarland;2808;283,490609373565;174;2020-07-07T22:00:00;2020-07-07 22:00:00.000
2227;2227;DE;Saarland;2809;283,591567567786;174;2020-07-08T22:00:00;2020-07-08 22:00:00.000
2243;2243;DE;Saarland;2812;283,89444215045;174;2020-07-09T22:00:00;2020-07-09 22:00:00.000
2259;2259;DE;Saarland;2812;283,89444215045;174;2020-07-10T22:00:00;2020-07-10 22:00:00.000
2275;2275;DE;Saarland;2812;283,89444215045;174;2020-07-11T22:00:00;2020-07-11 22:00:00.000
2291;2291;DE;Saarland;2812;283,89444215045;174;2020-07-12T22:00:00;2020-07-12 22:00:00.000
2307;2307;DE;Saarland;2819;284,601149509999;174;2020-07-13T22:00:00;2020-07-13 22:00:00.000
2323;2323;DE;Saarland;2823;285,00498228688497;174;2020-07-14T22:00:00;2020-07-14 22:00:00.000
2339;2339;DE;Saarland;2824;285,105940481106;174;2020-07-15T22:00:00;2020-07-15 22:00:00.000
2355;2355;DE;Saarland;2827;285,40881506377;174;2020-07-16T22:00:00;2020-07-16 22:00:00.000
2371;2371;DE;Saarland;2828;285,509773257992;174;2020-07-17T22:00:00;2020-07-17 22:00:00.000
2387;2387;DE;Saarland;2828;285,509773257992;174;2020-07-18T22:00:00;2020-07-18 22:00:00.000
2403;2403;DE;Saarland;2830;285,71168964643397;174;2020-07-19T22:00:00;2020-07-19 22:00:00.000
2419;2419;DE;Saarland;2832;285,91360603487703;174;2020-07-20T22:00:00;2020-07-20 22:00:00.000
2435;2435;DE;Saarland;2835;286,216480617541;174;2020-07-21T22:00:00;2020-07-21 22:00:00.000
2451;2451;DE;Saarland;2840;286,721271588648;174;2020-07-22T22:00:00;2020-07-22 22:00:00.000
2467;2467;DE;Saarland;2841;286,822229782869;174;2020-07-23T22:00:00;2020-07-23 22:00:00.000
2483;2483;DE;Saarland;2849;287,62989533664;174;2020-07-24T22:00:00;2020-07-24 22:00:00.000
2499;2499;DE;Saarland;2850;287,730853530861;174;2020-07-25T22:00:00;2020-07-25 22:00:00.000
2515;2515;DE;Saarland;2851;287,831811725083;174;2020-07-26T22:00:00;2020-07-26 22:00:00.000
2531;2531;DE;Saarland;2852;287,932769919304;174;2020-07-27T22:00:00;2020-07-27 22:00:00.000
2547;2547;DE;Saarland;2857;288,437560890411;174;2020-07-28T22:00:00;2020-07-28 22:00:00.000
2563;2563;DE;Saarland;2862;288,942351861518;174;2020-07-29T22:00:00;2020-07-29 22:00:00.000
2579;2579;DE;Saarland;2862;288,942351861518;174;2020-07-30T22:00:00;2020-07-30 22:00:00.000
2595;2595;DE;Saarland;2874;290,153850192174;174;2020-07-31T22:00:00;2020-07-31 22:00:00.000
2611;2611;DE;Saarland;2879;290,658641163281;174;2020-08-01T22:00:00;2020-08-01 22:00:00.000
2627;2627;DE;Saarland;2881;290,860557551723;174;2020-08-02T22:00:00;2020-08-02 22:00:00.000
2643;2643;DE;Saarland;2886;291,36534852282995;174;2020-08-03T22:00:00;2020-08-03 22:00:00.000
2659;2659;DE;Saarland;2891;291,870139493937;174;2020-08-04T22:00:00;2020-08-04 22:00:00.000
2675;2675;DE;Saarland;2897;292,47588865926497;174;2020-08-05T22:00:00;2020-08-05 22:00:00.000
2691;2691;DE;Saarland;2900;292,778763241929;174;2020-08-06T22:00:00;2020-08-06 22:00:00.000
2707;2707;DE;Saarland;2913;294,091219766807;174;2020-08-07T22:00:00;2020-08-07 22:00:00.000
2723;2723;DE;Saarland;2926;295,403676291684;174;2020-08-08T22:00:00;2020-08-08 22:00:00.000
