;Hersteller;Modell;Kilometerstand;Baujahr;PS;Zustand;Kraftstoff;Verbrauch;Preis
2;Volvo;XC90;111183,0;2015,0;224;Gebraucht;Diesel;5,8;40930
1;Volvo;XC60;42656,0;2017,0;190;Gebraucht;Diesel;4,7;32930
9;Volvo;V50;260000,0;2008,0;109;Gebraucht;Diesel;5,0;3200
6;Volkswagen;Touran;45000,0;2014,0;140;Gebraucht;Benzin;7,2;17000
5;Volkswagen;Tiguan;13189,0;2018,0;179;Gebraucht;Benzin;7,6;39930
19;Volkswagen;T6;26537,0;2017,0;204;Jahreswagen;Diesel;7,6;60990
10;Renault;Scenic;2000,0;2018,0;140;Neu;Benzin;5,5;24990
12;Kia;Rio;4,0;;84;Neu;Benzin;5,5;14250
3;Audi;Q3;42922,0;2016,0;184;Gebraucht;Diesel;5,2;30990
7;Volkswagen;Passat;100,0;2018,0;67;Gebraucht;Benzin;4,7;10240
18;Mazda;MX-5;;;132;Neu;Benzin;6,3;23190
4;Seat;Ibiza;138000,0;2008,0;69;Gebraucht;Benzin;5,9;3200
11;Renault;Clio;2000,0;2018,0;90;Neu;Benzin;5,0;14990
15;Volkswagen;Caddy;156600,0;2007,0;105;Gebraucht;Diesel;6,9;2890
8;Audi;A3;345000,0;2006,0;170;Gebraucht;Diesel;5,7;3550
17;Mazda;6;;;194;Neu;Benzin;6,8;34190
0;BMW;520;40000,0;2017,0;190;Gebraucht;Diesel;4,5;46900
16;Fiat;500;6917,0;2013,0;69;Gebraucht;Benzin;5,1;9450
13;Peugeot;307;52750,0;2004,0;109;Gebraucht;Benzin;;2790
14;BMW;218;42346,0;2015,0;150;Gebraucht;Diesel;4,5;21950
