;Prod_MA;Messmaschine;Values;value
0;505050_1;777777;Istwert;6,0678843
1;505050_1;777777;Istwert;6,03
2;505050_1;777777;Istwert;6,04
3;505050_1;777777;Istwert;6,0
4;505050_1;777777;Istwert;5,94
5;505050_1;777777;Istwert;6,322928
6;505050_1;777777;Istwert;6,0
7;505050_1;777777;Istwert;6,2
8;505050_1;777777;Istwert;6,05
9;505050_1;777777;Istwert;6,002999999999999
10;505050_2;777775;Istwert;6,0678843
11;505050_2;777775;Istwert;6,03
12;505050_2;777775;Istwert;6,04
13;505050_2;777775;Istwert;10,0
14;505050_2;777775;Istwert;6,2
15;505050_2;777775;Istwert;6,05
16;505050_2;777775;Istwert;11,003
17;505050_2;777775;Istwert;6,0678843
18;505050_2;777775;Istwert;6,03
19;505050_2;777775;Istwert;6,04
20;505050_2;777775;Istwert;6,01
21;505050_1;777777;UG;5,8
22;505050_1;777777;UG;5,8
23;505050_1;777777;UG;5,8
24;505050_1;777777;UG;5,8
25;505050_1;777777;UG;5,8
26;505050_1;777777;UG;5,8
27;505050_1;777777;UG;5,8
28;505050_1;777777;UG;5,8
29;505050_1;777777;UG;5,8
30;505050_1;777777;UG;5,8
31;505050_2;777775;UG;5,8
32;505050_2;777775;UG;5,8
33;505050_2;777775;UG;5,8
34;505050_2;777775;UG;5,8
35;505050_2;777775;UG;5,8
36;505050_2;777775;UG;5,8
37;505050_2;777775;UG;5,8
38;505050_2;777775;UG;5,8
39;505050_2;777775;UG;5,8
40;505050_2;777775;UG;5,8
41;505050_2;777775;UG;5,8
42;505050_1;777777;OG;6,2
43;505050_1;777777;OG;6,2
44;505050_1;777777;OG;6,2
45;505050_1;777777;OG;6,2
46;505050_1;777777;OG;6,2
47;505050_1;777777;OG;6,2
48;505050_1;777777;OG;6,2
49;505050_1;777777;OG;6,2
50;505050_1;777777;OG;6,2
51;505050_1;777777;OG;6,2
52;505050_2;777775;OG;6,2
53;505050_2;777775;OG;6,2
54;505050_2;777775;OG;6,2
55;505050_2;777775;OG;6,2
56;505050_2;777775;OG;6,2
57;505050_2;777775;OG;6,2
58;505050_2;777775;OG;6,2
59;505050_2;777775;OG;6,2
60;505050_2;777775;OG;6,2
61;505050_2;777775;OG;6,2
62;505050_2;777775;OG;6,2
