,Prod_MA,Messmaschine,Part_SNR,Part_STL,Part_Name,Prod_Maschine,AVO,Mess_Prog,Merkmal,UG,OG,Einheit,Spindel,Messzeitpunkt,Istwert,Stichprobe
0,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:14:55.000504","6.0678843",1
1,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:14:56.000504","6.03",1
2,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:14:57.000504","6.04",1
3,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:14:58.000504",6.2
4,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:14:59.000504","5.94",2
5,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:15:00.000504","6.322928",2
6,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:15:20.000504",6.3
7,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:15:21.000505","6.2",3
8,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:15:22.000506","6.05",3
9,M505050_1,777777,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,1,"2020-02-19 01:15:25.000507","6.003",4
10,M505050_1,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:15:30.000508","6.0678843",4
11,M505050_1,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:15:35.000509","6.03",4
12,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:15:40.000510","6.04",5
13,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:15:55.000511",6.5
14,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:15:58.000512","5.94",5
15,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:20.000513","6.322928",6
16,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:22.000514",10.6
17,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:24.000515","6.2",6
18,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:30.000516","6.05",7
19,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:40.000517","11.003",7
20,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:50.000518","6.0678843",7
21,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:51.000519","6.03",8
22,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:52.000520","6.04",8
22,M505050_2,777775,324049916,4711,Siemenslufthaken,505050,10,1111,101_4v5_A4_A4_DM,"5,8","6,2",mm,2,"2020-02-19 01:16:54.000520","6.01",8
