Bildname;Bildcode;Delta;Gruppe;p-Value
crop_Screenshot von 2021-05-01 10.41.12.jpeg;77e30303fffbf333;23;ungleich;0,3775055228821377
crop_Screenshot von 2021-05-01 10.36.30.jpeg;c6c6c6c6c4c6c606;32;ungleich;0,12677756963452286
crop_Screenshot von 2021-05-01 10.39.24.jpeg;dfccde48c84808de;34;anders;0,04996493844499073
crop_Screenshot von 2021-05-01 10.40.53.jpeg;77e3030313fbf333;18;gleich;0,04132129445534815
crop_Screenshot von 2021-05-01 10.37.17.jpeg;dfccce40c040409c;34;anders;0,04996493844499073
crop_Screenshot von 2021-05-01 10.34.33.jpeg;fe838303031f7e7a;0;gleich;3,326773336981246e-05
crop_Screenshot von 2021-05-01 10.36.45.jpeg;c6c6c6c6c4c6c606;32;ungleich;0,12677756963452286
crop_Screenshot von 2021-05-01 10.39.53.jpeg;8f33b141081331e3;26;ungleich;0,9550043266860356
crop_Screenshot von 2021-05-01 10.37.32.jpeg;dfdcde48c8c808dc;37;anders;0,012066916117213751
crop_Screenshot von 2021-05-01 10.40.04.jpeg;cff3f941081230ee;26;ungleich;0,9550043266860356
