;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Unnamed: 0;0;1;2;3;4;5;6;7;8;9;21;20;19;18;17;16;11;14;13;12;22;10;15;22
Prod_MA;505050_1;505050_1;505050_1;505050_1;505050_1;505050_1;505050_1;505050_1;505050_1;505050_1;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2;505050_2
Messmaschine;777777;777777;777777;777777;777777;777777;777777;777777;777777;777777;777775;777775;777775;777775;777775;777775;777775;777775;777775;777775;777775;777775;777775;777775
Part_SNR;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916;324049916
Part_STL;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711;4711
Part_Name;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken;Siemenslufthaken
Prod_Maschine;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050;505050
AVO;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Mess_Prog;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111
Merkmal;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM;101_4v5_A4_A4_DM
UG;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8
OG;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2;6.2
Einheit;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
Spindel;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Messzeitpunkt;2020-02-19 01:14:55.000504;2020-02-19 01:14:56.000504;2020-02-19 01:14:57.000504;2020-02-19 01:14:58.000504;2020-02-19 01:14:59.000504;2020-02-19 01:15:00.000504;2020-02-19 01:15:20.000504;2020-02-19 01:15:21.000505;2020-02-19 01:15:22.000506;2020-02-19 01:15:25.000507;2020-02-19 01:16:51.000519;2020-02-19 01:16:50.000518;2020-02-19 01:16:40.000517;2020-02-19 01:16:30.000516;2020-02-19 01:16:24.000515;2020-02-19 01:16:22.000514;2020-02-19 01:15:35.000509;2020-02-19 01:15:58.000512;2020-02-19 01:15:55.000511;2020-02-19 01:15:40.000510;2020-02-19 01:16:52.000520;2020-02-19 01:15:30.000508;2020-02-19 01:16:20.000513;2020-02-19 01:16:54.000520
Istwert;6.0678843;6.03;6.04;6.0;5.94;6.322928;6.0;6.2;6.05;6.002999999999999;6.03;6.0678843;11.003;6.05;6.2;10.0;6.03;5.94;6.0;6.04;6.04;6.0678843;6.322928;6.01
Stichprobe;1;1;1;2;2;2;3;3;3;4;8;7;7;7;6;6;4;5;5;5;8;4;6;8
